label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
I Love You,0.0,-0.1292695841925782,-0.2301929773303741,-0.2814747570916686,-0.3239428085298279,-0.150196840823906,-0.1667298548949056,-0.172763408138248,-0.1750147595186527,-0.0730514747939938,-0.0744154634296324,-0.0730104011086044,-0.0746937804332343,0.0036506377144248,0.0062746472195601,0.0006877703048271,-0.0082645817064971,0.0787147230924976,0.0992306010935975,0.1091659405234851,0.1139540198275728,0.0,-0.0686257851932894,-0.2545877514954324,-0.4335816312489026,-0.5698512838441419,-0.4847527045925461,-0.7240924921635099,-0.867089672144816,-1.0,-0.4924243919289566,-0.611280620285384,-0.4304214176165357,-0.280067769441638,-0.4823153450379431,-0.6121168548488582,-0.4418589415193616,-0.3091042979065844,-0.4593137603317299,-0.6378463098636262,-0.7517515546897993,-0.8714965363063836,0.0,-0.0506522759779376,-0.0715293102685285,-0.0929286134491774,-0.1117314901367216,-0.0339730706061414,-0.0755568043945369,-0.0970676295835949,-0.1110254225211993,-0.0340649415569004,-0.128086264201235,-0.1555820615021697,-0.1490526157075883,-0.040742049389711,-0.1290690109536729,-0.1244743603626477,-0.0930851734488736,-0.0511177142365674,-0.1064912259238225,-0.113488018593111,-0.1039555809977036
I Love You,0.0,-0.1316848470311684,-0.2325980839679285,-0.2845131507866055,-0.3273183887764079,-0.1538200874594472,-0.1699789574903774,-0.17702454750947,-0.1800896293785401,-0.0760129518582625,-0.0784046216516649,-0.076588220918418,-0.0776544207550692,0.001094240698226,0.0028379508903135,-0.0023442160276603,-0.0104365929792369,0.0764963331720264,0.0962668661738017,0.1070559112131415,0.11307714698901,0.0,-0.0687745269911087,-0.2533937261592011,-0.4321230502029565,-0.569098345017565,-0.4855324792446396,-0.7242646095315418,-0.8668197122511495,-1.0,-0.4945623916180257,-0.6144073083976017,-0.4326793377568152,-0.2811995837441948,-0.4854402679498452,-0.6156398121132856,-0.4436029789317143,-0.3087071297018188,-0.4630620426710732,-0.6425998063239261,-0.7572629875833986,-0.8763148333030096,0.0,-0.0514444559850264,-0.0720351134116539,-0.093539602969291,-0.1123902069748418,-0.0304497236765721,-0.0722559688995148,-0.0941424006060503,-0.1083463237814234,-0.0305339675919478,-0.1267600161125605,-0.1563042183786288,-0.1504325428519486,-0.0375481599347866,-0.1286694235304253,-0.1261199969282972,-0.0949325934333489,-0.0482748882036312,-0.1052192015061189,-0.1134536431688859,-0.1042508413583521
I Love You,0.0,-0.1311334110433478,-0.2331647794452894,-0.2850128320769507,-0.3285935114852765,-0.1548587160846407,-0.170575765187528,-0.1766979234532804,-0.1788647135386677,-0.0767893318760053,-0.0780646376805184,-0.0771246093620844,-0.0788404792763615,0.0002880279561876,0.0027165243418412,-0.0029799566523319,-0.0115092519272117,0.0756072306236069,0.0951743612831742,0.1057571772224687,0.1116452453515443,0.0,-0.0668642337078254,-0.2523546689951983,-0.4315862675821784,-0.5673728943147219,-0.4853602239972919,-0.7236547058293352,-0.8662598280775153,-1.0,-0.4945995567282117,-0.6152041975274148,-0.4327178830355148,-0.281344413096383,-0.4855234398391315,-0.6147815407737283,-0.4435135376105988,-0.3098447254233269,-0.462994907137144,-0.6432869232557062,-0.7580381240059597,-0.8776848291306513,0.0,-0.0500886314931811,-0.0702063223320636,-0.0913496104689203,-0.1101356203685598,-0.0309576015888134,-0.0727816374624257,-0.0945035570425392,-0.1085058352142219,-0.0316763230337947,-0.1273964170614379,-0.156485460688342,-0.1504006004247814,-0.0391038035006179,-0.1297688720526199,-0.1270857756744204,-0.0960350674897285,-0.0500524864118815,-0.1066647216830407,-0.1145381667838065,-0.1052147921878614
I Love You,0.0,-0.1307618349696384,-0.2323655703503348,-0.2859580810392977,-0.3288347210516354,-0.1546850523838719,-0.1703454817326446,-0.1761064404472836,-0.1775955886357545,-0.0769920241921872,-0.0777068325781363,-0.0759521656440096,-0.0775019237167447,0.0003461881289825,0.0028598806244112,-0.0020605203714458,-0.0106664768563529,0.0753969704764077,0.0946430892059943,0.1049953005770341,0.1105056234001605,0.0,-0.0687049706036669,-0.2538718338210703,-0.4315477682998442,-0.5686996321885938,-0.4838220679294445,-0.7223648855233508,-0.8656371074849433,-1.0,-0.4929360905438335,-0.6161152191742928,-0.4347564253756977,-0.2831207403896396,-0.4838944331115464,-0.615517963766721,-0.4453923815963802,-0.3122528489072156,-0.4615163363589744,-0.6413358332214423,-0.7553693401341506,-0.8748973163949197,0.0,-0.0518757189335804,-0.0728179033591049,-0.094551521300062,-0.1137559370321016,-0.0315543038815146,-0.0740353316126936,-0.096421874115375,-0.1108687374729792,-0.0314599109968131,-0.1280239163017957,-0.1577682709278559,-0.1519029165406763,-0.0383130912362653,-0.1295540462625448,-0.1273998744529354,-0.0964944886931306,-0.0488539501980352,-0.1061126545107736,-0.114667687099371,-0.1056760436062789
I Love You,0.0,-0.1304011657781228,-0.2316239468635132,-0.2849601330465355,-0.3278548893683261,-0.1542378055534393,-0.1697013314919485,-0.1753975213707078,-0.1767411703491661,-0.0762942779291553,-0.0785761254302913,-0.0772696499477788,-0.0781907745973186,0.0014672724649755,0.0030869130383335,-0.0029246031810354,-0.0115983468600552,0.0771196592141371,0.0969698737992231,0.1070663681980742,0.1121768593907112,0.0,-0.0680116123949835,-0.2522934912342411,-0.4304646524899488,-0.5674038149300215,-0.4834034929038066,-0.7219464647627137,-0.86543972517548,-1.0,-0.4927295017616887,-0.6140940500253677,-0.4316625251718058,-0.2792254729219718,-0.4839170058478015,-0.6151386900989366,-0.445556767656465,-0.3122184634486738,-0.4618136883834446,-0.6406402486301729,-0.7546205628866949,-0.8738429884464991,0.0,-0.0516275246051076,-0.0725973341071502,-0.0943147199026603,-0.113403073684118,-0.0315230322313475,-0.0744236104196907,-0.0972799478253589,-0.1121200815310756,-0.0317748144519344,-0.1292362138557536,-0.1596929777840628,-0.1542255291772314,-0.0389005798720462,-0.1303393157354466,-0.1281423107953699,-0.0972836624733913,-0.0497138021009323,-0.106701173243169,-0.1149074791216063,-0.1057301912631292
I Love You,0.0,-0.1296696409588334,-0.2313515943767867,-0.2843396949511063,-0.3272124034618973,-0.153943548485386,-0.169722563407404,-0.1755263738778694,-0.1769627010491049,-0.0759004332111386,-0.0767855435587773,-0.0756750930002342,-0.0777688069021273,0.0016787845712374,0.0039226530559734,-0.0008636596929468,-0.0091819635745132,0.0773012259645007,0.09658536453248,0.1064216814117347,0.1109323857488567,0.0,-0.0663805676569087,-0.2504320600618331,-0.4285095451350755,-0.5663738778693975,-0.4825638949188762,-0.7210033056217237,-0.8650582106308037,-1.0,-0.4920125833007195,-0.6173271996739067,-0.4352946688893734,-0.2828023980315232,-0.483249990859096,-0.6189896254125256,-0.44911582405588,-0.3155490974880796,-0.46118138397349,-0.6411102338852633,-0.7544175754530842,-0.8730756094951648,0.0,-0.0526141249956308,-0.0742024146173869,-0.0963616992705539,-0.1159704144115473,-0.0330890220419677,-0.0757050099570155,-0.0980482502246612,-0.1124166273011699,-0.0328323725421444,-0.1290079029515621,-0.1581947010486291,-0.1519738757671908,-0.0394718681538334,-0.1302302788011584,-0.1273085073345918,-0.0960388222285776,-0.0498459850409426,-0.1063208766704475,-0.1139617718561026,-0.1044446350309891
I Love You,0.0,-0.1316751691826035,-0.2333118139959649,-0.2861261820262645,-0.3288325286675343,-0.1547122839450602,-0.1706843657613951,-0.1755193022771635,-0.1763601798135497,-0.0764450819896592,-0.0770421793770411,-0.075445255423384,-0.0776294381037009,0.0016227231084395,0.0037918198423157,-0.0011596501437838,-0.0096012210433866,0.0774118943832889,0.0977696138757474,0.1074630996930173,0.1119672385716166,0.0,-0.0681524028223182,-0.2519144257340447,-0.4309998052491769,-0.5687797540914207,-0.4808590768723532,-0.7203146972154896,-0.8647676630333039,-1.0,-0.4906913971242578,-0.6154521741882408,-0.4337583470787622,-0.2823442008446709,-0.4830162578949103,-0.620762318016889,-0.4516850428252305,-0.3182147553346448,-0.4619324452411573,-0.6407799478037185,-0.7545661361059554,-0.8737509615241135,0.0,-0.0515324582006132,-0.0725956882394874,-0.0946211017187696,-0.1142052086851263,-0.0310307936358671,-0.073971679600706,-0.0971658644821499,-0.1122721578197423,-0.0314217949945315,-0.1275458040432571,-0.157132938857451,-0.151534891219421,-0.0388091329005464,-0.1290153719997886,-0.1257826067233957,-0.0947373277309533,-0.0500077049227951,-0.1063953412955148,-0.1140534746731003,-0.1047192434526576
I Love You,0.0,-0.1313539350030027,-0.2323969253804197,-0.2857355969758379,-0.3276840260733883,-0.1537395348582115,-0.1694061640473533,-0.174227711613188,-0.1748963837844804,-0.0757824073185379,-0.0759221527821577,-0.0743807844503006,-0.0767327642234062,0.002033658473714,0.0043770824021082,-0.000237589226217,-0.0086585148479555,0.0777177832683875,0.0972722760466513,0.1068664492970221,0.1115048140337791,0.0,-0.0687595944748987,-0.2521972341586616,-0.4301093338232834,-0.5683275791621305,-0.4821324894491626,-0.7210503944738018,-0.865432193559533,-1.0,-0.4903786783962179,-0.6169174278717611,-0.4358612746563265,-0.2838490332169702,-0.4813185872984097,-0.6177228838681194,-0.4486437066551857,-0.315706062858036,-0.4589845418921031,-0.637676430018949,-0.7516952364237666,-0.8717677965683385,0.0,-0.0513074661812217,-0.0727207093673964,-0.0948699471568074,-0.1145024571729045,-0.0321191299639471,-0.0749373998460026,-0.0978646916195031,-0.1126299886197472,-0.0324532398133149,-0.1279705976203861,-0.1568523596856354,-0.150642489202477,-0.0396130284400744,-0.129099982833583,-0.1251728089771731,-0.0936438493624055,-0.050527064138788,-0.106190296355931,-0.1131317258401397,-0.1032822483773864
I Love You,0.0,-0.1325511028941601,-0.2325107203856899,-0.2862502080929792,-0.3279224133994721,-0.1536274066497773,-0.1689884370741357,-0.1735942466189995,-0.1743504799390145,-0.0756627990927173,-0.0758375506021554,-0.0739343597590906,-0.0766433370478078,0.0021531490874304,0.0045937501558813,-0.0004058532546673,-0.008919562614732,0.0777521430493491,0.0969392887054448,0.1064526117813542,0.1114649323657391,0.0,-0.0701402567235615,-0.2523003969676776,-0.4310525538853241,-0.570089634697537,-0.4803078126148554,-0.7197353599977021,-0.8647980789612613,-1.0,-0.4883432027555484,-0.614778770235038,-0.433340877760168,-0.2822410094103249,-0.4803524323540908,-0.6201296307574058,-0.4527991404067533,-0.3199465527880293,-0.4593571457662747,-0.6391247032362521,-0.753730119754666,-0.8732048982826169,0.0,-0.0510011932612103,-0.072200245837241,-0.0945632041741899,-0.1144621278572786,-0.0291143615274544,-0.072530145497095,-0.0966451411992932,-0.112245694385392,-0.0295973606119823,-0.1258909615384066,-0.1563009034740931,-0.1511415542710789,-0.0370672476325004,-0.1269240126509756,-0.123768248704306,-0.0926678108224105,-0.0483350850447484,-0.1039555565043681,-0.1110164589402386,-0.1011209011970611
I Love You,0.0,-0.1322089173522553,-0.2327362322554341,-0.2865215598552939,-0.3267029862979139,-0.1527489478688469,-0.1678110938883822,-0.1720984306476223,-0.1726424105773826,-0.0745353770775971,-0.0743579396743649,-0.0711807974864649,-0.0723609983781869,0.0029572166719831,0.0047789220215447,0.0007606032607535,-0.0067001332101398,0.0785169315129048,0.0965823046476932,0.1050035366400532,0.1090176726332745,0.0,-0.0698513378361927,-0.2511670471884427,-0.4281699929575402,-0.568062544263037,-0.477040238444169,-0.7178952225529543,-0.8644010596050983,-1.0,-0.4847112140218697,-0.6079749527072082,-0.4286715948474467,-0.2777980678695866,-0.4769380908571966,-0.6093661632155533,-0.4417104921642454,-0.3095312944763032,-0.4568950391716183,-0.6362206317431992,-0.7513725531635261,-0.8710958542829449,0.0,-0.0502875017408397,-0.0716860831387075,-0.0940499172681976,-0.1139113694216294,-0.0309681823574765,-0.0744199070006039,-0.0982740034270454,-0.113498768294968,-0.0313550195621814,-0.1264100636826742,-0.1551575097178178,-0.1491586092353246,-0.0385928791893823,-0.1272446771630296,-0.1226485035588026,-0.0908413836848668,-0.0495900390076477,-0.1041341364676731,-0.1101349013087378,-0.0996996598518755
